Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad
pw_ward_settings_emission_color;Glow color;Цвет свечения;Leuchtfarbe;Color de brillo;Barva záře;Gloedkleur;Couleur de lueur;発光色;빛 색상;Kolor poświaty;Cor do brilho;Parıltı rengi;Колір світіння;发光颜色;發光顏色
pw_ward_settings_emission_multiplier;Glow color multiplier;Множитель цвета свечения;Leuchtfarben-Multiplikator;Multiplicador del color de brillo;Násobitel barvy záře;Gloedkleurvermenigvuldiger;Multiplicateur de couleur de lueur;発光色の倍率;빛 색상 배율;Mnożnik koloru poświaty;Multiplicador da cor do brilho;Parıltı rengi çarpanı;Множник кольору світіння;发光颜色倍率;發光顏色倍率
pw_ward_settings_circle_enabled;Customize ward circle;Настраивать круг оберега;Wächterstein-Kreis anpassen;Personalizar círculo de la estatua guardiana;Přizpůsobit kruh strážce;Verzegelingscirkel aanpassen;Personnaliser le cercle de la balise;守護石の円を調整;경비석 원 사용자 지정;Dostosuj krąg kamienia strażniczego;Personalizar círculo da proteção;Nazarlık çemberini özelleştir;Налаштовувати коло оберега;自定义守护石圆环;自訂保護石圓環
pw_ward_settings_circle_start;Circle start color;Начальный цвет круга;Startfarbe des Kreises;Color inicial del círculo;Počáteční barva kruhu;Startkleur van cirkel;Couleur de départ du cercle;円の開始色;원 시작 색상;Kolor początkowy kręgu;Cor inicial do círculo;Çember başlangıç rengi;Початковий колір кола;圆环起始颜色;圓環起始顏色
pw_ward_settings_circle_end;Circle end color;Конечный цвет круга;Endfarbe des Kreises;Color final del círculo;Koncová barva kruhu;Eindkleur van cirkel;Couleur de fin du cercle;円の終了色;원 끝 색상;Kolor końcowy kręgu;Cor final do círculo;Çember bitiş rengi;Кінцевий колір кола;圆环结束颜色;圓環結束顏色
pw_ward_settings_circle_speed;Circle speed;Скорость круга;Kreisgeschwindigkeit;Velocidad del círculo;Rychlost kruhu;Cirkelsnelheid;Vitesse du cercle;円の速度;원 속도;Prędkość kręgu;Velocidade do círculo;Çember hızı;Швидкість кола;圆环速度;圓環速度
pw_ward_settings_circle_length;Circle line length;Длина линий круга;Linienlänge des Kreises;Longitud de línea del círculo;Délka čar kruhu;Lijnlengte van cirkel;Longueur des lignes du cercle;円の線の長さ;원 선 길이;Długość linii kręgu;Comprimento das linhas do círculo;Çember çizgi uzunluğu;Довжина ліній кола;圆环线长度;圓環線長度
pw_ward_settings_circle_width;Circle line width;Ширина линий круга;Linienbreite des Kreises;Ancho de línea del círculo;Šířka čar kruhu;Lijnbreedte van cirkel;Largeur des lignes du cercle;円の線の幅;원 선 너비;Szerokość linii kręgu;Largura das linhas do círculo;Çember çizgi genişliği;Ширина ліній кола;圆环线宽度;圓環線寬度
pw_ward_settings_circle_amount;Circle line count;Количество линий круга;Anzahl Kreislinien;Cantidad de líneas del círculo;Počet čar kruhu;Aantal cirkellijnen;Nombre de lignes du cercle;円の線の数;원 선 개수;Liczba linii kręgu;Quantidade de linhas do círculo;Çember çizgi sayısı;Кількість ліній кола;圆环线数量;圓環線數量
pw_ward_settings_set_color;Set color;Задать цвет;Farbe setzen;Definir color;Nastavit barvu;Kleur instellen;Définir la couleur;色を設定;색상 설정;Ustaw kolor;Definir cor;Renk ayarla;Задати колір;设置颜色;設定顏色
pw_ward_settings_open;Open;Открыть;Öffnen;Abrir;Otevřít;Openen;Ouvrir;開く;열기;Otwórz;Abrir;Aç;Відкрити;打开;開啟
pw_ward_settings_back;Back;Назад;Zurück;Atrás;Zpět;Terug;Retour;戻る;뒤로;Wstecz;Voltar;Geri;Назад;返回;返回
pw_ward_settings_section_range;Range;Радиус;Radius;Radio;Dosah;Bereik;Rayon;範囲;범위;Zasięg;Alcance;Menzil;Радіус;范围;範圍
pw_ward_settings_section_visuals;Visuals;Визуал;Darstellung;Aspecto;Vzhled;Uiterlijk;Visuels;表示;시각 효과;Wygląd;Visual;Görseller;Візуал;视觉;視覺
pw_ward_settings_visuals;Ward visual settings;Настройки визуала оберега;Darstellung des Wächtersteins;Ajustes visuales de la estatua guardiana;Nastavení vzhledu strážce;Visuele instellingen van de verzegeling;Paramètres visuels de la balise;守護石の表示設定;경비석 시각 설정;Ustawienia wyglądu kamienia strażniczego;Configurações visuais da proteção;Nazarlık görsel ayarları;Налаштування візуалу оберега;守护石视觉设置;保護石視覺設定
pw_ward_settings_visuals_title;Ward visuals;Визуал оберега;Wächterstein-Darstellung;Aspecto de la estatua guardiana;Vzhled strážce;Uiterlijk van de verzegeling;Visuels de la balise;守護石の表示;경비석 시각 효과;Wygląd kamienia strażniczego;Visual da proteção;Nazarlık görselleri;Візуал оберега;守护石视觉;保護石視覺
pw_ward_settings_section_emission;Glow;Свечение;Leuchten;Brillo;Záře;Gloed;Lueur;発光;빛;Poświata;Brilho;Parıltı;Світіння;发光;發光
pw_ward_settings_section_bubble;Sphere;Сфера;Sphäre;Esfera;Sféra;Sfeer;Sphère;球体;구체;Sfera;Esfera;Küre;Сфера;球体;球體
pw_ward_settings_section_circle;Ward circle;Круг оберега;Wächterstein-Kreis;Círculo de la estatua guardiana;Kruh strážce;Verzegelingscirkel;Cercle de la balise;守護石の円;경비석 원;Krąg kamienia strażniczego;Círculo da proteção;Nazarlık çemberi;Коло оберега;守护石圆环;保護石圓環
pw_ward_settings_bubble_visual;Sphere visual settings;Настройки визуала сферы;Sphärenvisuals;Visual de la esfera;Vzhled sféry;Sfeervisuals;Visuel de la sphère;球体の表示設定;구체 시각 설정;Wygląd sfery;Visual da esfera;Küre görsel ayarları;Налаштування візуалу сфери;球体视觉设置;球體視覺設定
pw_ward_settings_circle_visual;Circle visual settings;Настройки визуала круга;Kreisvisuals;Visual del círculo;Vzhled kruhu;Cirkelvisuals;Visuel du cercle;円の表示設定;원 시각 설정;Wygląd kręgu;Visual do círculo;Çember görsel ayarları;Налаштування візуалу кола;圆环视觉设置;圓環視覺設定
pw_ward_settings_bubble_visual_title;Sphere visual settings;Настройки визуала сферы;Sphärenvisuals;Visual de la esfera;Vzhled sféry;Sfeervisuals;Visuel de la sphère;球体の表示設定;구체 시각 설정;Wygląd sfery;Visual da esfera;Küre görsel ayarları;Налаштування візуалу сфери;球体视觉设置;球體視覺設定
pw_ward_settings_circle_visual_title;Circle visual settings;Настройки визуала круга;Kreisvisuals;Visual del círculo;Vzhled kruhu;Cirkelvisuals;Visuel du cercle;円の表示設定;원 시각 설정;Wygląd kręgu;Visual do círculo;Çember görsel ayarları;Налаштування візуалу кола;圆环视觉设置;圓環視覺設定
pw_ward_password_section;Password protection;Защита паролем;Passwortschutz;Protección con contraseña;Ochrana heslem;Wachtwoordbeveiliging;Protection par mot de passe;パスワード保護;비밀번호 보호;Ochrona hasłem;Proteção por senha;Parola koruması;Захист паролем;密码保护;密碼保護
pw_ward_password_settings;Password protection settings;Настройки парольного доступа;Passwortschutz-Einstellungen;Ajustes de protección con contraseña;Nastavení ochrany heslem;Instellingen voor wachtwoordbeveiliging;Paramètres de protection par mot de passe;パスワード保護設定;비밀번호 보호 설정;Ustawienia ochrony hasłem;Configurações de proteção por senha;Parola koruması ayarları;Налаштування захисту паролем;密码保护设置;密碼保護設定
pw_ward_password_settings_title;Ward password settings;Настройки пароля оберега;Wächterstein-Passwort;Contraseña de la protección;Heslo ochranného kamene;Wachtwoord van de verzegeling;Mot de passe de la balise;守護石のパスワード設定;경비석 비밀번호 설정;Hasło kamienia strażniczego;Senha da proteção;Nazarlık parola ayarları;Налаштування пароля оберега;守护石密码设置;保護石密碼設定
pw_ward_password_enabled;Enable password access;Включить доступ по паролю;Passwortzugang aktivieren;Activar acceso con contraseña;Povolit přístup heslem;Toegang met wachtwoord inschakelen;Activer l’accès par mot de passe;パスワードでのアクセスを有効化;비밀번호 접근 활성화;Włącz dostęp za pomocą hasła;Ativar acesso por senha;Parolayla erişimi etkinleştir;Увімкнути доступ за паролем;启用密码访问;啟用密碼存取
pw_ward_password_status;Password status;Состояние пароля;Passwortstatus;Estado de la contraseña;Stav hesla;Wachtwoordstatus;État du mot de passe;パスワードの状態;비밀번호 상태;Stan hasła;Status da senha;Parola durumu;Стан пароля;密码状态;密碼狀態
pw_ward_password_value;Password;Пароль;Passwort;Contraseña;Heslo;Wachtwoord;Mot de passe;パスワード;비밀번호;Hasło;Senha;Parola;Пароль;密码;密碼
pw_ward_password_new;New password;Новый пароль;Neues Passwort;Nueva contraseña;Nové heslo;Nieuw wachtwoord;Nouveau mot de passe;新しいパスワード;새 비밀번호;Nowe hasło;Nova senha;Yeni parola;Новий пароль;新密码;新密碼
pw_ward_password_is_set;Set;Установлен;Gesetzt;Establecida;Nastaveno;Ingesteld;Défini;設定済み;설정됨;Ustawione;Definida;Ayarlı;Установлено;已设置;已設定
pw_ward_password_not_set;Not set;Не установлен;Nicht gesetzt;No establecida;Nenastaveno;Niet ingesteld;Non défini;未設定;설정되지 않음;Nie ustawiono;Não definida;Ayarlı değil;Не встановлено;未设置;未設定
pw_ward_password_set_new;Set new password;Установить новый пароль;Neues Passwort setzen;Establecer nueva contraseña;Nastavit nové heslo;Nieuw wachtwoord instellen;Définir un nouveau mot de passe;新しいパスワードを設定;새 비밀번호 설정;Ustaw nowe hasło;Definir nova senha;Yeni parola belirle;Установити новий пароль;设置新密码;設定新密碼
pw_ward_password_remove;Remove password;Удалить пароль;Passwort entfernen;Eliminar contraseña;Odstranit heslo;Wachtwoord verwijderen;Supprimer le mot de passe;パスワードを削除;비밀번호 제거;Usuń hasło;Remover senha;Parolayı kaldır;Видалити пароль;移除密码;移除密碼
pw_ward_password_hash_note;Players can enter the ward password to add themselves to the permitted list without disabling the ward.;Игроки могут ввести пароль варда, чтобы самостоятельно добавиться в список разрешённых игроков, не отключая вард.;Spieler können das Passwort des Wächtersteins eingeben, um sich selbst zur Liste der zugelassenen Spieler hinzuzufügen, ohne den Wächterstein zu deaktivieren.;Los jugadores pueden introducir la contraseña del guardián para añadirse a la lista de jugadores autorizados sin desactivar el guardián.;Hráči mohou zadat heslo ochranného kamene a sami se přidat do seznamu povolených hráčů, aniž by ochranný kámen vypnuli.;Spelers kunnen het wachtwoord van de ward invoeren om zichzelf aan de lijst met toegestane spelers toe te voegen zonder de ward uit te schakelen.;Les joueurs peuvent saisir le mot de passe de la balise pour s’ajouter eux-mêmes à la liste des joueurs autorisés sans désactiver la balise.;プレイヤーは守護石を無効にせず、パスワードを入力して自分を許可済みプレイヤー一覧に追加できます。;플레이어는 수호석을 비활성화하지 않고 비밀번호를 입력해 자신을 허용된 플레이어 목록에 추가할 수 있습니다.;Gracze mogą wpisać hasło strażnika, aby samodzielnie dodać się do listy dozwolonych graczy bez wyłączania strażnika.;Os jogadores podem inserir a senha da proteção para se adicionar à lista de jogadores permitidos sem desativar a proteção.;Oyuncular, muhafızı devre dışı bırakmadan parolayı girerek kendilerini izinli oyuncular listesine ekleyebilir.;Гравці можуть ввести пароль варда, щоб самостійно додатися до списку дозволених гравців, не вимикаючи вард.;玩家可以输入守护石密码，将自己加入许可玩家列表，而无需关闭守护石。;玩家可以輸入保護石密碼，將自己加入允許玩家清單，而無需停用保護石。
pw_ward_password_plaintext_note;Players can enter the ward password to add themselves to the permitted list without disabling the ward.;Игроки могут ввести пароль варда, чтобы самостоятельно добавиться в список разрешённых игроков, не отключая вард.;Spieler können das Passwort des Wächtersteins eingeben, um sich selbst zur Liste der zugelassenen Spieler hinzuzufügen, ohne den Wächterstein zu deaktivieren.;Los jugadores pueden introducir la contraseña del guardián para añadirse a la lista de jugadores autorizados sin desactivar el guardián.;Hráči mohou zadat heslo ochranného kamene a sami se přidat do seznamu povolených hráčů, aniž by ochranný kámen vypnuli.;Spelers kunnen het wachtwoord van de ward invoeren om zichzelf aan de lijst met toegestane spelers toe te voegen zonder de ward uit te schakelen.;Les joueurs peuvent saisir le mot de passe de la balise pour s’ajouter eux-mêmes à la liste des joueurs autorisés sans désactiver la balise.;プレイヤーは守護石を無効にせず、パスワードを入力して自分を許可済みプレイヤー一覧に追加できます。;플레이어는 수호석을 비활성화하지 않고 비밀번호를 입력해 자신을 허용된 플레이어 목록에 추가할 수 있습니다.;Gracze mogą wpisać hasło strażnika, aby samodzielnie dodać się do listy dozwolonych graczy bez wyłączania strażnika.;Os jogadores podem inserir a senha da proteção para se adicionar à lista de jogadores permitidos sem desativar a proteção.;Oyuncular, muhafızı devre dışı bırakmadan parolayı girerek kendilerini izinli oyuncular listesine ekleyebilir.;Гравці можуть ввести пароль варда, щоб самостійно додатися до списку дозволених гравців, не вимикаючи вард.;玩家可以输入守护石密码，将自己加入许可玩家列表，而无需关闭守护石。;玩家可以輸入保護石密碼，將自己加入允許玩家清單，而無需停用保護石。
pw_ward_password_enter;Enter ward password;Ввести пароль оберега;Wächterstein-Passwort eingeben;Introducir contraseña de la protección;Zadat heslo ochranného kamene;Wachtwoord van de verzegeling invoeren;Saisir le mot de passe de la balise;守護石のパスワードを入力;경비석 비밀번호 입력;Wprowadź hasło kamienia strażniczego;Inserir senha da proteção;Nazarlık parolasını gir;Ввести пароль оберега;输入守护石密码;輸入保護石密碼
pw_ward_password_prompt_title;Ward password;Пароль оберега;Wächterstein-Passwort;Contraseña de la protección;Heslo ochranného kamene;Wachtwoord van de verzegeling;Mot de passe de la balise;守護石のパスワード;경비석 비밀번호;Hasło kamienia strażniczego;Senha da proteção;Nazarlık parolası;Пароль оберега;守护石密码;保護石密碼
pw_ward_password_placeholder;Password;Пароль;Passwort;Contraseña;Heslo;Wachtwoord;Mot de passe;パスワード;비밀번호;Hasło;Senha;Parola;Пароль;密码;密碼
pw_ward_password_submit;Enter;Войти;Eingeben;Entrar;Vstoupit;Toegang;Entrer;入る;입장;Wejdź;Entrar;Gir;Увійти;进入;進入
pw_ward_password_required;Enter a password first;Сначала введи пароль;Gib zuerst ein Passwort ein;Introduce primero una contraseña;Nejprve zadej heslo;Voer eerst een wachtwoord in;Saisis d’abord un mot de passe;先にパスワードを入力してください;먼저 비밀번호를 입력하세요;Najpierw wpisz hasło;Digite uma senha primeiro;Önce bir parola gir;Спочатку введіть пароль;请先输入密码;請先輸入密碼
pw_ward_password_too_long;Password is too long;Пароль слишком длинный;Das Passwort ist zu lang;La contraseña es demasiado larga;Heslo je příliš dlouhé;Het wachtwoord is te lang;Le mot de passe est trop long;パスワードが長すぎます;비밀번호가 너무 깁니다;Hasło jest zbyt długie;A senha é longa demais;Parola çok uzun;Пароль надто довгий;密码过长;密碼過長
pw_ward_password_accepted;Password accepted. You are now permitted.;Пароль принят. Ты добавлен в список допущенных.;Passwort akzeptiert. Du bist jetzt zugelassen.;Contraseña aceptada. Ahora tienes permiso.;Heslo přijato. Nyní máš povolení.;Wachtwoord geaccepteerd. Je hebt nu toegang.;Mot de passe accepté. Tu es désormais autorisé.;パスワードが認証されました。許可リストに追加されました。;비밀번호가 승인되었습니다. 이제 허용 목록에 추가되었습니다.;Hasło zaakceptowane. Masz teraz dostęp.;Senha aceita. Agora você tem permissão.;Parola kabul edildi. Artık izinlisin.;Пароль прийнято. Тепер ви у списку дозволених.;密码正确。你已被加入许可名单。;密碼正確。你已被加入許可名單。
pw_ward_password_incorrect;Incorrect password;Неверный пароль;Falsches Passwort;Contraseña incorrecta;Nesprávné heslo;Onjuist wachtwoord;Mot de passe incorrect;パスワードが違います;비밀번호가 올바르지 않습니다;Nieprawidłowe hasło;Senha incorreta;Yanlış parola;Неправильний пароль;密码错误;密碼錯誤
pw_ward_password_already_permitted;You are already permitted;У тебя уже есть доступ;Du bist bereits zugelassen;Ya tienes permiso;Už máš povolení;Je hebt al toegang;Tu es déjà autorisé;すでに許可されています;이미 허용되어 있습니다;Masz już dostęp;Você já tem permissão;Zaten izinlisin;Ви вже маєте доступ;你已获得许可;你已獲得許可
pw_ward_password_too_far;You are too far from the ward;Ты слишком далеко от оберега;Du bist zu weit vom Wächterstein entfernt;Estás demasiado lejos de la protección;Jsi příliš daleko od ochranného kamene;Je bent te ver van de verzegeling;Tu es trop loin de la balise;守護石から離れすぎています;경비석에서 너무 멀리 떨어져 있습니다;Jesteś zbyt daleko od kamienia strażniczego;Você está longe demais da proteção;Nazarlıktan çok uzaktasın;Ви надто далеко від оберега;你离守护石太远;你離保護石太遠
pw_ward_password_unavailable;Ward password access is unavailable;Доступ по паролю сейчас недоступен;Passwortzugang ist nicht verfügbar;El acceso con contraseña no está disponible;Přístup heslem není dostupný;Toegang met wachtwoord is niet beschikbaar;L’accès par mot de passe est indisponible;パスワードでのアクセスは利用できません;비밀번호 접근을 사용할 수 없습니다;Dostęp za pomocą hasła jest niedostępny;O acesso por senha não está disponível;Parolayla erişim kullanılamıyor;Доступ за паролем недоступний;密码访问不可用;密碼存取不可用
pw_ward_password_settings_saved;Ward password settings saved;Настройки парольного доступа сохранены;Passwortschutz-Einstellungen gespeichert;Ajustes de contraseña guardados;Nastavení hesla uloženo;Wachtwoordinstellingen opgeslagen;Paramètres du mot de passe enregistrés;守護石のパスワード設定を保存しました;경비석 비밀번호 설정이 저장되었습니다;Ustawienia hasła zapisane;Configurações de senha salvas;Parola ayarları kaydedildi;Налаштування пароля збережено;守护石密码设置已保存;保護石密碼設定已儲存
pw_permit_no_ward;No ward within range.;Нет оберега в радиусе.;Kein Wächterstein in Reichweite.;No hay ninguna estatua guardiana dentro del alcance.;V dosahu není žádný strážce.;Geen verzegeling binnen bereik.;Aucune balise à portée.;範囲内に守護石がありません。;범위 내에 경비석이 없습니다.;Brak kamienia strażniczego w zasięgu.;Nenhuma proteção ao alcance.;Menzilde nazarlık yok.;Немає оберега в радіусі.;范围内没有守护石。;範圍內沒有保護石。
pw_permit_no_access;You do not have access to this ward.;У тебя нет доступа к этому оберегу.;Du hast keinen Zugriff auf diesen Wächterstein.;No tienes acceso a esta estatua guardiana.;Nemáš přístup k tomuto strážci.;Je hebt geen toegang tot deze verzegeling.;Tu n'as pas accès à cette balise.;この守護石へのアクセス権がありません。;이 경비석에 접근할 권한이 없습니다.;Nie masz dostępu do tego kamienia strażniczego.;Você não tem acesso a esta proteção.;Bu nazarlığa erişimin yok.;У вас немає доступу до цього оберега.;你没有此守护石的访问权限。;你沒有此保護石的存取權限。
pw_permit_no_match;No online player matched: $1;Не найден онлайн-игрок: $1;Kein Online-Spieler gefunden: $1;No se encontró ningún jugador en línea: $1;Nenalezen žádný online hráč: $1;Geen online speler gevonden: $1;Aucun joueur en ligne trouvé : $1;一致するオンラインプレイヤーがいません: $1;일치하는 온라인 플레이어가 없습니다: $1;Nie znaleziono gracza online: $1;Nenhum jogador online encontrado: $1;Eşleşen çevrimiçi oyuncu yok: $1;Не знайдено онлайн-гравця: $1;未找到匹配的在线玩家：$1;找不到符合的線上玩家：$1
pw_permit_multiple;Multiple players matched: $1;Найдено несколько игроков: $1;Mehrere Spieler gefunden: $1;Varios jugadores encontrados: $1;Nalezeno více hráčů: $1;Meerdere spelers gevonden: $1;Plusieurs joueurs trouvés : $1;複数のプレイヤーが一致しました: $1;여러 플레이어가 일치합니다: $1;Znaleziono kilku graczy: $1;Vários jogadores encontrados: $1;Birden fazla oyuncu eşleşti: $1;Знайдено кілька гравців: $1;找到多个匹配玩家：$1;找到多個符合玩家：$1
pw_permit_already;Player is already permitted.;Игрок уже добавлен в список доступа.;Spieler ist bereits zugelassen.;El jugador ya tiene permiso.;Hráč už má povolení.;Speler heeft al toestemming.;Le joueur est déjà autorisé.;プレイヤーはすでに許可されています。;플레이어는 이미 허용 목록에 있습니다.;Gracz ma już pozwolenie.;O jogador já está permitido.;Oyuncu zaten izinli.;Гравця вже додано до списку доступу.;玩家已被允许。;玩家已被允許。
pw_permit_added;Added $1 to ward permitted list.;$1 добавлен в список доступа оберега.;$1 wurde zur Zugriffsliste des Wächtersteins hinzugefügt.;$1 añadido a la lista de permisos de la estatua guardiana.;$1 byl přidán mezi povolené hráče strážce.;$1 is toegevoegd aan de toegangslijst van de verzegeling.;$1 a été ajouté à la liste d'accès de la balise.;$1 を守護石の許可リストに追加しました。;$1을(를) 경비석 허용 목록에 추가했습니다.;Dodano $1 do listy dostępu kamienia strażniczego.;$1 foi adicionado à lista de permissões da proteção.;$1 nazarlık izin listesine eklendi.;$1 додано до списку доступу оберега.;已将 $1 添加到守护石允许列表。;已將 $1 加入保護石允許清單。
pw_ward_limit_reached;Ward limit reached: $1/$2;Достигнут лимит оберегов: $1/$2;Wächterstein-Limit erreicht: $1/$2;Límite de estatuas guardianas alcanzado: $1/$2;Dosažen limit strážců: $1/$2;Verzegelingslimiet bereikt: $1/$2;Limite de balises atteinte : $1/$2;守護石の上限に達しました: $1/$2;경비석 제한 도달: $1/$2;Osiągnięto limit kamieni strażniczych: $1/$2;Limite de proteções atingido: $1/$2;Nazarlık sınırına ulaşıldı: $1/$2;Досягнуто ліміт оберегів: $1/$2;已达到守护石上限：$1/$2;已達保護石上限：$1/$2
pw_ward_expiration_expired;Ward protection expired due to inactivity;Защита оберега истекла из-за неактивности;Schutz des Wächtersteins ist wegen Inaktivität abgelaufen;La protección de la estatua guardiana expiró por inactividad;Ochrana strážce vypršela kvůli neaktivitě;De bescherming van de verzegeling is verlopen door inactiviteit;La protection de la balise a expiré pour inactivité;非アクティブ状態により守護石の保護が期限切れになりました;비활성 상태로 인해 경비석 보호가 만료되었습니다;Ochrona kamienia strażniczego wygasła z powodu bezczynności;A proteção expirou por inatividade;Nazarlığın koruması etkinlik olmadığı için sona erdi;Захист оберега минув через неактивність;守护石保护因不活跃而过期;保護石的保護因閒置而過期
pw_ward_expiration_hint;A player with access must interact with the ward to reactivate it.;Игрок с доступом должен взаимодействовать с оберегом, чтобы восстановить защиту.;Ein Spieler mit Zugriff muss mit dem Wächterstein interagieren, um ihn zu reaktivieren.;Un jugador con acceso debe interactuar con la estatua guardiana para reactivarla.;Hráč s přístupem musí se strážcem interagovat, aby ho znovu aktivoval.;Een speler met toegang moet met de verzegeling interageren om deze opnieuw te activeren.;Un joueur ayant accès doit interagir avec la balise pour la réactiver.;アクセス権のあるプレイヤーが守護石を操作すると再有効化できます。;접근 권한이 있는 플레이어가 경비석과 상호작용해야 다시 활성화됩니다.;Gracz z dostępem musi wejść w interakcję z kamieniem strażniczym, aby go ponownie aktywować.;Um jogador com acesso deve interagir com a proteção para reativá-la.;Erişimi olan bir oyuncu nazarlığı yeniden etkinleştirmek için onunla etkileşime geçmelidir.;Гравець із доступом має взаємодіяти з оберегом, щоб відновити захист.;拥有访问权限的玩家必须与守护石互动以重新激活它。;擁有存取權限的玩家必須與保護石互動以重新啟用。
pw_ward_expiration_reactivated;Ward protection reactivated.;Защита оберега восстановлена.;Schutz des Wächtersteins reaktiviert.;Protección de la estatua guardiana reactivada.;Ochrana strážce znovu aktivována.;De bescherming van de verzegeling is opnieuw geactiveerd.;Protection de la balise réactivée.;守護石の保護が再有効化されました。;경비석 보호가 다시 활성화되었습니다.;Ochrona kamienia strażniczego została ponownie aktywowana.;Proteção reativada.;Nazarlığın koruması yeniden etkinleştirildi.;Захист оберега відновлено.;守护石保护已重新激活。;保護石的保護已重新啟用。
pw_ward_offering_bossaltar_description;summon a Valkyrie for a flight to;призвать валькирию в полёт к;eine Walküre zum Flug rufen zu;llamar a una valquiria en vuelo hacia;přivolat valkýru k letu k;een valkyrie oproepen voor een vlucht naar;appeler une Valkyrie en vol vers;ヴァルキリーを呼んで飛ぶ先;발키리를 불러 비행할 곳;wezwać Walkirię do lotu ku;chamar uma Valquíria em voo até;bir Valkyrie çağırıp uçulacak yer;покликати валькірію в політ до;召唤女武神飞往;召喚女武神飛往
pw_ward_offering_bossaltar_item_consumed;the rite will take the item needed for the flight to the boss altar;ритуал заберёт предмет, нужный для полёта к алтарю босса;der Ritus nimmt den Gegenstand für den Flug zum Bossaltar;el rito tomará el objeto necesario para el vuelo al altar del jefe;rituál si vezme předmět potřebný k letu k oltáři bosse;de rite neemt het item dat nodig is voor de vlucht naar het baasaltaar;le rite prendra l’objet requis pour le vol vers l’autel du boss;儀式はボス祭壇への飛行に必要な品を捧げ物として受け取る;의식은 보스 제단으로 비행하는 데 필요한 아이템을 공물로 가져갑니다;rytuał zabierze przedmiot potrzebny do lotu ku ołtarzowi bossa;o rito tomará o item necessário para o voo até o altar do chefe;ayin boss sunağına uçuş için gereken eşyayı alır;обряд забере предмет для польоту до вівтаря боса;仪式会取走飞往首领祭坛所需的物品;儀式會取走飛往首領祭壇所需的物品
pw_ward_offerings_compendium_topic;Ward and offerings;Оберег и подношения;Wächterstein und Opfergaben;Estatua guardiana y ofrendas;Strážce a obětiny;Verzegeling en offers;Balise et offrandes;守護石と捧げ物;경비석과 공물;Kamień strażniczy i ofiary;Proteção e oferendas;Nazarlık ve adaklar;Оберіг і підношення;守护石与供品;保護石與供品
pw_ward_offerings_compendium_hint;Offering lore and the list of known offerings are kept in the Valheim Compendium, under the raven icon.;Предания о подношениях и список известных подношений хранятся в компендиуме Valheim под значком ворона.;Die Kunde von Opfergaben und die Liste bekannter Gaben stehen im Valheim-Kompendium unter dem Rabensymbol.;La tradición de las ofrendas y la lista de ofrendas conocidas están en el Compendio de Valheim, bajo el icono del cuervo.;Pověsti o obětinách a seznam známých obětin jsou ve valheimském kompendiu pod ikonou havrana.;De overlevering over offers en de lijst met bekende offers staan in het Valheim-compendium onder het ravenicoon.;Le savoir des offrandes et la liste des offrandes connues se trouvent dans le Compendium de Valheim, sous l’icône du corbeau.;捧げ物の伝承と既知の捧げ物の一覧は、ワタリガラスのアイコンの下にあるValheim Compendiumに記されています。;공물에 관한 전승과 알려진 공물 목록은 까마귀 아이콘 아래 Valheim Compendium에 기록되어 있습니다.;Wiedza o ofiarach i lista znanych ofiar znajdują się w Kompendium Valheim, pod ikoną kruka.;A tradição das oferendas e a lista de oferendas conhecidas ficam no Compêndio de Valheim, sob o ícone do corvo.;Adak bilgisi ve bilinen adakların listesi Valheim Compendium içinde, kuzgun simgesinin altında tutulur.;Перекази про підношення та список відомих підношень зберігаються в компендіумі Valheim, під іконкою крука.;供品传说和已知供品列表保存在 Valheim Compendium 的渡鸦图标下。;供品傳說和已知供品列表保存在 Valheim Compendium 的渡鴉圖示下。
